SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
77,2026_MPP_513011_1,Tender For Purchasing Equipment,SP/KGN/RK/94/2026,MP Police | SP Khargone - MPP,2026-06-27,2026-06-25,01:04:32,MP Tenders,Madhya Pradesh,,https://mptenders.gov.in/nicgep/app
78,2026_MPPKV_512943_1,5 MVA SS AT MATLABPURA UNDER HASALPUR DC MHOW DN,EE/STC/INDORE/26-27/TS-45,"Madhya Pradesh Paschim Kshetra Vidyut Vitran Company Ltd | ED/Chief Engineer (Indore Region) - MPPKVVCL | SE, Indore O and M Circle, Indore - MPPKVVCL | EE, Indore O and M STC Division, Indore - MPPKVVCL",2026-06-29,2026-06-25,01:04:32,MP Tenders,Madhya Pradesh,,https://mptenders.gov.in/nicgep/app
79,2026_MPPKV_512940_1,Bifurcation of 11 kv feeder from Railway station Kachhaliya s.s. To CM rise school Kachhaliya under Ajnod DC Indore Dn.,EE/STC/INDORE/26-27/TS-43/999,"Madhya Pradesh Paschim Kshetra Vidyut Vitran Company Ltd | ED/Chief Engineer (Indore Region) - MPPKVVCL | SE, Indore O and M Circle, Indore - MPPKVVCL | EE, Indore O and M STC Division, Indore - MPPKVVCL",2026-06-29,2026-06-25,01:04:32,MP Tenders,Madhya Pradesh,,https://mptenders.gov.in/nicgep/app
80,2026_PRD_570639_1,VILLAGE RESOURCE CENTER KAM LIBRARY BHAVAN VIKASH HULASPURA GP BAROLI,54 GP BAROLI,Panchayati Raj Department | Secretary and Commissioner | CEO-DHOLPUR | BDO-SARMATHURA,2026-06-25,2026-06-25,01:04:32,Rajasthan eProcurement,Rajasthan,,https://eproc.rajasthan.gov.in/nicgep/app
81,2026_PRD_568874_1,Material and equipment supply under MGnrega and other schemes in Gram Panchayat Bassi in FY 2026-27,15/11.06.2026 GP Bassi,Panchayati Raj Department | Secretary and Commissioner | CEO-NAGORE | BDO-PARVATSAR,2026-06-25,2026-06-25,01:04:32,Rajasthan eProcurement,Rajasthan,,https://eproc.rajasthan.gov.in/nicgep/app
82,2026_PRD_568259_1,Supply of Construction Materials and Service of Equipments (Financial Year 2026-27) for Gram Panchayat Bamniya kala,Bam/2026-27/27/15-06-2026,Panchayati Raj Department | Secretary and Commissioner | CEO-RAJSAMAND | BDO-RAILMAGARA,2026-06-25,2026-06-25,01:04:32,Rajasthan eProcurement,Rajasthan,,https://eproc.rajasthan.gov.in/nicgep/app
83,2026_PRD_568166_1,Supply of Construction Materials and Service of Equipments (Financial Year 2026-27) for Gram Panchayat Railmagra,rail/2026-27/21/03-06-2026,Panchayati Raj Department | Secretary and Commissioner | CEO-RAJSAMAND | BDO-RAILMAGARA,2026-06-25,2026-06-25,01:04:32,Rajasthan eProcurement,Rajasthan,,https://eproc.rajasthan.gov.in/nicgep/app
84,2026_PRD_568243_1,SUPPLY OF MATERIAL AND EQUIPMENT FOR FY 2026-27 FOR MGNREGA AND OTHER SCHEME IN GP SATYAYA,01/2026-27 MGNREGA GP SATYAYA,Panchayati Raj Department | Secretary and Commissioner | CEO- JAISALMER | BDO-NACHNA,2026-06-27,2026-06-25,01:04:32,Rajasthan eProcurement,Rajasthan,,https://eproc.rajasthan.gov.in/nicgep/app
85,2026_PRD_569391_1,supply of construction material in gram panchayat anjroli khas for V B G RAM G nerega v any yojna in varsh 2026-27,01/2026-27/anjroli khas,Panchayati Raj Department | Secretary and Commissioner | CEO-UDAIPUR | BDO-FALASIYA,2026-06-25,2026-06-25,01:04:32,Rajasthan eProcurement,Rajasthan,,https://eproc.rajasthan.gov.in/nicgep/app
86,2026_PRD_569394_1,supply of construction material in gram panchayat amod in nerega V B G RAM G V any yojna in varsh 2026-27,01/026-27/amod,Panchayati Raj Department | Secretary and Commissioner | CEO-UDAIPUR | BDO-FALASIYA,2026-06-25,2026-06-25,01:04:32,Rajasthan eProcurement,Rajasthan,,https://eproc.rajasthan.gov.in/nicgep/app
87,2026_PRD_569397_1,supply of construction material in gram panchayat newaj for nerega v b g ram g v any yojna in varsh 2026-27,01/2026-27/newaj,Panchayati Raj Department | Secretary and Commissioner | CEO-UDAIPUR | BDO-FALASIYA,2026-06-25,2026-06-25,01:04:32,Rajasthan eProcurement,Rajasthan,,https://eproc.rajasthan.gov.in/nicgep/app
88,2026_PRD_569384_1,supply of construction matarial in gram panchayat devadawas for V B G RAM G NEREGA any yojna in varsh 2026-27,01/2026-27/devadawas,Panchayati Raj Department | Secretary and Commissioner | CEO-UDAIPUR | BDO-FALASIYA,2026-06-25,2026-06-25,01:04:32,Rajasthan eProcurement,Rajasthan,,https://eproc.rajasthan.gov.in/nicgep/app
89,2026_PRD_566968_1,material supply for fy 2026-27,17/04-06-2026,Panchayati Raj Department | Secretary and Commissioner | CEO-ALWAR | BDO-RAMGARH,2026-06-25,2026-06-25,01:04:32,Rajasthan eProcurement,Rajasthan,,https://eproc.rajasthan.gov.in/nicgep/app
90,2026_DOLBU_1154320_2,Ward no-02 me mohan ke makan se muneem ke makan tak evam link gali me jalapurti hetu pipe line dalne ka karya.,56/NPK/2026-27,Directorate of Local Bodies UP | Nagar Panchayat Kirawali Agra,2026-06-25,2026-06-25,01:04:32,UP eTender,Uttar Pradesh,,https://etender.up.nic.in/nicgep/app
91,2026_MVVNL_1157536_1,02(W)/EDCS/2026-27,02(W)/EDCS/2026-27,Madhyanchal Vidyut Vitran Nigam Ltd | C E - BAREILLY ZONE | S E - Shahjahanpur,2026-06-25,2026-06-25,01:04:32,UP eTender,Uttar Pradesh,,https://etender.up.nic.in/nicgep/app
92,2026_UPIDC_1158611_3,Auction of Damaged store,01/EE/Neelami/2026-27,"U P Irrigation Department (Civil) | Chief Engineer-Ganga, Meerut | Irrigation Works Circle, Mathura | UMBGC, khurja",2026-06-25,2026-06-25,01:04:32,UP eTender,Uttar Pradesh,,https://etender.up.nic.in/nicgep/app
93,2026_SCIDC_1161488_1,Upgradation pf Composite School Karpiya Block Masauli Distt. Barabanki,654/E E/Ayo/E-Tender/Composit School/2026- 27 Dated 17.06.2026,U.P. State Construction and Infrastructure Development Corporation Ltd. | Superintending Engineer (Civil) - Ayodhya,2026-06-25,2026-06-25,01:04:32,UP eTender,Uttar Pradesh,,https://etender.up.nic.in/nicgep/app
94,2026_SCIDC_1161498_1,Upgradation pf Composite School Sandauli Umarpur Block Banki Distt. Barabanki,655/E E/Ayo/E-Tender/Composit School/2026- 27 Dated 17.06.2026,U.P. State Construction and Infrastructure Development Corporation Ltd. | Superintending Engineer (Civil) - Ayodhya,2026-06-25,2026-06-25,01:04:32,UP eTender,Uttar Pradesh,,https://etender.up.nic.in/nicgep/app
95,2026_HPDA_1159743_1,"Plantation of trees on the internal roads of Block V of Anand Vihar Housing Scheme, pavement and central verge and maintenance work for 02 years",52/se/hpda/2026,Hapur-Pilkhuwa Development Authority Hapur | Hapur-Pilkhuwa Development Authority HQ Hapur,2026-06-25,2026-06-25,01:04:32,UP eTender,Uttar Pradesh,,https://etender.up.nic.in/nicgep/app
96,2026_SCIDC_1161504_1,Upgradation of Composite School Nevla Block Masauli Distt. Barabanki,656/E E/Ayo/E-Tender/Composit School/2026- 27 Dated 17.06.2026,U.P. State Construction and Infrastructure Development Corporation Ltd. | Superintending Engineer (Civil) - Ayodhya,2026-06-25,2026-06-25,01:04:32,UP eTender,Uttar Pradesh,,https://etender.up.nic.in/nicgep/app
97,2026_SCIDC_1161512_1,Upgradation of Composite School Amnaikpur Block Karaudikala Distt. Sultanpur,657/E E/Ayo/E-Tender/Composit School/2026- 27 Dated 17.06.2026,U.P. State Construction and Infrastructure Development Corporation Ltd. | Superintending Engineer (Civil) - Ayodhya,2026-06-25,2026-06-25,01:04:32,UP eTender,Uttar Pradesh,,https://etender.up.nic.in/nicgep/app
98,2026_SCIDC_1161478_1,Upgradation pf Composite School Dhauramau Block Dewa Distt. Barabanki,653/E E/Ayo/E-Tender/Composit School/2026- 27 Dated 17.06.2026,U.P. State Construction and Infrastructure Development Corporation Ltd. | Superintending Engineer (Civil) - Ayodhya,2026-06-25,2026-06-25,01:04:32,UP eTender,Uttar Pradesh,,https://etender.up.nic.in/nicgep/app
99,2026_UPIDC_1158611_4,Auction of Damaged store,01/EE/Neelami/2026-27,"U P Irrigation Department (Civil) | Chief Engineer-Ganga, Meerut | Irrigation Works Circle, Mathura | UMBGC, khurja",2026-06-25,2026-06-25,01:04:32,UP eTender,Uttar Pradesh,,https://etender.up.nic.in/nicgep/app
100,2026_CERWI_131385_1,Construction of PWD road to Sagariapada in the District of Nawarangpur under Mukhya Mantri Sadak Yojana (MMSY) for the year 2026-27.,CCERWCSBD-Online-19/2026-27,CE RW I | RWCIRCLE-SUNABEDA,2026-06-25,2026-06-24,00:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
101,2026_CERWI_131347_1,Construction of Lodhuapada to Baghpada in the District of Nawarangpur under Mukhya Mantri Sadak Yojana (MMSY) for the year 2026-27.,CCERWSBD-Online-19/2026-27,CE RW I | RWCIRCLE-SUNABEDA,2026-06-25,2026-06-24,00:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
102,2026_CERWI_131344_1,Construction of PWD road (Rajpur) to Siunaguda in the District of Nawarangpur under Mukhya Mantri Sadak Yojana (MMSY) for the year 2026-27.,CCERWSBD-Online-19/2026-27,CE RW I | RWCIRCLE-SUNABEDA,2026-06-25,2026-06-24,00:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
103,2026_CERWI_130596_1,Construction and maintenance of SH45 to Biltarajhole Road under MMSY scheme for the year 2026-27,NCB 04 RWC RGDA 2026 27,CE RW I | RWCIRCLE-RAYAGADA,2026-06-25,2026-06-24,00:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
104,2026_CERWI_130599_1,Construction and maintenance of PS Road to Kotapada Road under MMSY scheme for the year 2026-27,NCB 04 RWC RGDA 2026 27,CE RW I | RWCIRCLE-RAYAGADA,2026-06-25,2026-06-24,00:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
105,2026_ZPHD_1028365_7,Sinking of submersible pump with pipeline at Chandanpur Badal Murmu Para,NIT NO 02 OF 2026-2027,Zilla Parishad | Zilla Parishad | Paschim Midnapore | DEBRA | GOLGRAM,2026-06-29,2026-06-24,00:04:32,West Bengal Tenders,West Bengal,,https://wbtenders.gov.in/nicgep/app
106,2026_LSGD_856093_6,427/26-IMPROVEMENT WORKS TO VALAPARAMBU KOORPPANKALLU MECHERIKKUND ROAD IN WARD 19 OF ANAKKAYAM GP,RT-01/AKM/2026-27,Local Self Government Department | Malappuram | Grama Panchayath Section Office Malappuram | Office of the AE Anakkayam Grama Panchayath,2026-06-26,2026-06-24,00:04:32,Kerala eTenders,Kerala,,https://etenders.kerala.gov.in/nicgep/app
107,2026_LSGD_847166_20,88/26-IMPROVEMENT WORKS TO POOLAKKUTH THACHODI DAM ROAD IN WARD 21 OF ANAKKAYAM GP,10/AKM/2025-26,Local Self Government Department | Malappuram | Grama Panchayath Section Office Malappuram | Office of the AE Anakkayam Grama Panchayath,2026-06-26,2026-06-24,00:04:32,Kerala eTenders,Kerala,,https://etenders.kerala.gov.in/nicgep/app
108,2026_WR_164401_34,Lining/Relining of w/c by underground pipeline of outlet RD 9136-R of Longowal Disty village Hussanpur Constituency Dhuri Distt Sangrur (Laying and Jointing of UGPL system and other allied works in construction of watercourse),06/2026,Department of Water Resources | Punjab Water Resources Management and Development Corporation | DE - Lining Division No. - 3 - Malout,2026-06-24,2026-06-24,00:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
109,2026_WR_167078_6,Estimate for Relining Lining of WC by laying BM of OL RD 4333 R of Sehna Mr. of Sehna Disty Village Sehna Distt. Barnala,NIT09/2026,Department of Water Resources | Punjab Water Resources Management and Development Corporation | DE - Lining Division No. - 6 - Rampura Phul,2026-06-24,2026-06-24,00:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
110,2026_WR_167622_5,Lining/Relining of w/c by underground Pipeline of outlet RD 25400-L of Longowal Disty of Village Kanjhla Constituency Dhuri Distt. Sangrur,08/2026,Department of Water Resources | Punjab Water Resources Management and Development Corporation | DE - Lining Division No. - 3 - Malout,2026-06-24,2026-06-24,00:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
111,2026_WR_164401_32,Lining/Relining of w/c by underground pipeline of outlet RD 4341-R/4342-R of Pedhni disty village Rajomajra of Constituency Dhuri Distt Sangrur (Laying and Jointing of UGPL system and other allied works in construction of watercourse),06/2026,Department of Water Resources | Punjab Water Resources Management and Development Corporation | DE - Lining Division No. - 3 - Malout,2026-06-24,2026-06-24,00:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
112,2026_WR_168976_1,"For Leasing Out of NonFunctional Rest House (Bishanpura Rest House, Village Bishanpura)",4768,Department of Water Resources | Department of Water Resources | Canal - Sri Muktsar Sahib Canal and GW Div At GDB,2026-06-24,2026-06-24,00:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
113,2026_WR_164401_31,Lining/Relining of w/c by underground pipeline of outlet RD 6854-L of Longowal disty of village Bugra of Constituency Dhuri Distt Sangrur (Laying and Jointing of UGPL system and other allied works in construction of watercourse),06/2026,Department of Water Resources | Punjab Water Resources Management and Development Corporation | DE - Lining Division No. - 3 - Malout,2026-06-24,2026-06-24,00:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
114,2026_WR_164401_33,Lining/Relining of w/c by underground pipeline of outlet RD 19800-R of Longowal Disty village Kanjhla Constituency Dhuri Distt Sangrur (Laying and Jointing of UGPL system and other allied works in construction of watercourse),06/2026,Department of Water Resources | Punjab Water Resources Management and Development Corporation | DE - Lining Division No. - 3 - Malout,2026-06-24,2026-06-24,00:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
115,2026_WR_164504_1,"Estimate for Lining of Watercourses of O/L RD 38750-L of BDC by laying of UGPL of Vill. Jamitgarh, Aima, Chahal, Bir Sarkar",53/2026/BDC-1/Ropar,Department of Water Resources | Punjab Water Resources Management and Development Corporation | DE - T/W Construction Division - Ropar,2026-06-24,2026-06-24,00:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
116,2026_PRD_569283_4,PULIYA NIRMAN KARYA RUNDH KA PURA NIDHARA,01/2026-27/NIDHARA,Panchayati Raj Department | Secretary and Commissioner | CEO-DHOLPUR | BDO-BASEDI,2026-06-24,2026-06-24,00:04:32,Rajasthan eProcurement,Rajasthan,,https://eproc.rajasthan.gov.in/nicgep/app
117,2026_PRD_567521_1,Supply Of Civil Constriction Goods Under Mnrega and Other scheme for session 2026-27 Gram Panchayat Huddo ka tala Panchayat Chohtan,76 GP HUDDO KA TALA,Panchayati Raj Department | Secretary and Commissioner | CEO-BADMER | BDO-CHOHTAN,2026-06-25,2026-06-24,00:04:32,Rajasthan eProcurement,Rajasthan,,https://eproc.rajasthan.gov.in/nicgep/app
118,2026_DOLBU_1158908_5,INSTALLTION OF SUMBMERSIBLE,118/NPS/VANDAN/2026-27,Directorate of Local Bodies UP | Nagar Panchayat Shivrajpur Kanpur,2026-06-24,2026-06-24,00:04:32,UP eTender,Uttar Pradesh,,https://etender.up.nic.in/nicgep/app
119,2026_DOLBU_1159157_3,CONSTATION OF BOUNDARY WALL,119/NPS/NJPSY/2026-27,Directorate of Local Bodies UP | Nagar Panchayat Shivrajpur Kanpur,2026-06-24,2026-06-24,00:04:32,UP eTender,Uttar Pradesh,,https://etender.up.nic.in/nicgep/app
120,2026_MCGM_1309885_1,Imp of pathway and draiange line ata yogesh gully Machimaar Nagar 5 in beat 226 A ward,ACA0703/maint/dtd18.06.2026,Municipal Corporation of Greater Mumbai | A Ward | Maintenance Department,2026-06-25,2026-06-24,00:04:32,MahaTenders,Maharashtra,,https://mahatenders.gov.in/nicgep/app
121,2026_MCGM_1309880_1,Imp of pathway and drainage line at Koli gully machimar nagar 5 in beat 226 in A ward,ACA0705/maint/dtd18.06.2026,Municipal Corporation of Greater Mumbai | A Ward | Maintenance Department,2026-06-25,2026-06-24,00:04:32,MahaTenders,Maharashtra,,https://mahatenders.gov.in/nicgep/app
122,2026_MCGM_1309543_4,"Providing and Fixing RCC Cover at various locations , goregaon (W) in beat no.58 in P/South ward.",MDC,Municipal Corporation of Greater Mumbai | P/South Ward | Maintenance Department,2026-06-25,2026-06-24,00:04:32,MahaTenders,Maharashtra,,https://mahatenders.gov.in/nicgep/app
123,2026_CHAND_1309900_1,Inviting for the Construction of cc nali zp shala te laxman naitam ghar paryant bandhkam At GP Nokari kh Taluka Rajura Dist Chandrapur,01/2019-20,RDD-CEO-CHANDRAPUR | CHANDRAPUR-Dy. CEO V.P. | RAJURA | NOKARI KH,2026-06-26,2026-06-24,00:04:32,MahaTenders,Maharashtra,,https://mahatenders.gov.in/nicgep/app
124,2026_YAVAT_1309858_1,Construction of Cement Concrete Road At. Mahandoli Gp Wanjari Tq- Kelapur Dist- Yavatmal,ZP/GP/Wanjari_NIT_2026,RDD-CEO-YAVATMAL | YAVATMAL-Dy. CEO V.P. | KELAPUR | WANZARI,2026-06-24,2026-06-24,00:04:32,MahaTenders,Maharashtra,,https://mahatenders.gov.in/nicgep/app
125,2026_GADCH_1310106_1,B3/TENDER/2026-27,B3/TENDER/2026-27,RDD-CEO-GADCHIROLI | GADCHIROLI-Dy. CEO V.P. | KURKHEDA | SONERANGI,2026-06-25,2026-06-24,00:04:32,MahaTenders,Maharashtra,,https://mahatenders.gov.in/nicgep/app
126,2026_MCGM_1309247_1,Improvement of Pathways and drainage B125,MDE/E/97,Municipal Corporation of Greater Mumbai | N Ward | Maintenance Department,2026-06-25,2026-06-24,00:04:32,MahaTenders,Maharashtra,,https://mahatenders.gov.in/nicgep/app
127,2026_ARMY_773226_1,81203/LRC/RR S433 ENG/ERG/ENGR/0050,81203/LRC/RR S433 ENG/ERG/ENGR/0050,IHQ of MoD (Army)-(OSCC) | MGO BR-IHQ of MoD (Army)-(OSCC) | ARMY BASE WORKSHOPS-MGO BR-IHQ of MoD(Army)-(OSCC) | 507 ABW-IHQ of MoD (Army),2026-06-24,2026-06-24,00:04:32,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
128,2026_ARMY_773211_1,81203/KRAZ 255B/B1/ORD/0049,81203/KRAZ 255B/B1/ORD/0049,IHQ of MoD (Army)-(OSCC) | MGO BR-IHQ of MoD (Army)-(OSCC) | ARMY BASE WORKSHOPS-MGO BR-IHQ of MoD(Army)-(OSCC) | 507 ABW-IHQ of MoD (Army),2026-06-24,2026-06-24,00:04:32,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
129,2026_MES_769516_1,"SPL REPAIR TO BLDG NO T-18, T-19, P-08, T-11, T-13, T-34A AND T-47 INCLUDING ALLIED WORKS AT RAKHMUTHI MIL STN UNDER GE SOUTH AKHNOOR.",GES/AKH-05/2026-27,E-IN-C BRANCH - MILITARY ENGINEER SERVICES | CE NC AND CE UDHAMPUR ZONE - MES | 135 WORKS ENGINEER - MES | GE (S) AKHNOOR - MES,2026-07-01,2026-06-24,00:04:32,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
130,2026_ARMY_773240_1,81203/LRC/SCANIA/MT/0425,81203/LRC/SCANIA/MT/0425,IHQ of MoD (Army)-(OSCC) | MGO BR-IHQ of MoD (Army)-(OSCC) | ARMY BASE WORKSHOPS-MGO BR-IHQ of MoD(Army)-(OSCC) | 507 ABW-IHQ of MoD (Army),2026-06-24,2026-06-24,00:04:32,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
131,2026_ARMY_772266_1,81203/LRC/SCANIA/MT/320,81203/LRC/SCANIA/MT/320,IHQ of MoD (Army)-(OSCC) | MGO BR-IHQ of MoD (Army)-(OSCC) | ARMY BASE WORKSHOPS-MGO BR-IHQ of MoD(Army)-(OSCC) | 507 ABW-IHQ of MoD (Army),2026-06-24,2026-06-24,00:04:32,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
132,2026_ARMHA_912671_2,Term contract for periodicals of JCOs/ OR md accn and Offrs md accn at Demseiniong,ENG/III-235/2026-27/08 dt 11 Jun 2026,Assam Rifles - MHA | Engineer Branch - AR - MHA,2026-06-25,2026-06-24,00:04:32,CPPP,National,,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndListTendersbyDate&service=direct&session=T&sp=SrgP2crjpaz89EkuT3qAhyw%3D%3D
133,2026_ARMHA_912732_1,Term Contract E/M essential work repair/ maint of OTM accn at Laitumkhrah and Demseingiong Grn,ENG/III-235/2026-27/14 dt 11 Jun 2026,Assam Rifles - MHA | Engineer Branch - AR - MHA,2026-06-25,2026-06-24,00:04:32,CPPP,National,,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndListTendersbyDate&service=direct&session=T&sp=SRO9xvi9%2F99XNedz44Ioulw%3D%3D
134,GEM/2026/B/7409720,"GEM/2026/B/7409720 - GROMMETS METALLLIC 7.54MM HEAD OF BARREL UNDER FLANGE 14.06M-N0251-4119621,SOLDER, SILVER BRAKING A",GEM/2026/B/7409720,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9184137
135,2026_HFWD_52588_1,"SUPPLY OF ORTHOPAEDICS IMPLANTS package wise REQUIRED FOR DIFFERENT PROCEDURES UNDER ORTHOPAEDICS DEPARTMENT, GMCH",AAA/PMJAY/2020/229/PART3/161,Health and Family Welfare Department | Directorate of Medical Education-HFWD | Guwahati Medical College Hospital-HFWD,2026-06-24,2026-06-24,00:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
